Intitulé,Entreprise,Lieu,Salaire min,Salaire max,Salaire prédit,Secteur,Skills détectés,Description
Développeur Python/Développeuse Python,Néosoft,"Rennes, Ille-et-Vilaine",,,0,Emplois Informatique,,"Groupe indépendant de conseil en transformation digitale de près de 1800 collaborateurs, Néosoft s'est construit, depuis 2005, sur un modèle qui place l'excellence, le dépassement de soi et la RSE au coeur de sa stratégie. En nous rejoignant, vous intégrez des communautés d'experts et de talents qui vous permettent de développer vos compétences et d'offrir à nos clients le meilleur accompagnement possible. Notre savoir-faire s'articule autour de nos 6 domaines d'expertise : - Conseil & Agilité …"
Développeur Python/Développeuse Python,SKOTT GROUP,"Ile-de-France, France",,,0,Unknown,,"▶ Qui sommes-nous ? ➡ SKOTT GROUP est un cabinet de conseil spécialisé dans l’accompagnement de ses clients et consultants dans le domaine de la DATA. Fondé par une équipe d’associés partageant les mêmes valeurs d’Excellence et de Transparence, nous plaçons l’humain au cœur de nos activités.  ➡ Nous vous offrons à nos clients un accompagnement professionnel et de qualité tout au long du cycle de vie de leurs données dans divers domaines.  ➡️ Au sein de nos quatre filiales spécialisées, nous pro…"
Développeur/Développeuse Java-Angular,Sogeti,"Nantes, Loire-Atlantique",,,0,Unknown,,Vous êtes Développeurse/Développeur fullstack Java/Angular avec 3 ans d’expérience minimum ? Vous avez l’impression de stagner professionnellement car vous avez fait le tour sur votre projet ? Ou les formations-certifications que l’on vous propose ne correspondent pas à vos envies ? Vous n’avez pas de suivi régulier sur votre mission ? Vous avez l’impression que votre travail n’est pas reconnu et que vous « n’êtes qu’un numéro » ? Alors REJOIGNEZ-NOUS et lisez la suite pour en savoir plus ! Pou…
Développeur PHP/Développeuse PHP,Manpower France,"Caen, Calvados",,,0,Unknown,,"Envie de rejoindre la DSI d'un client final spécialisé dans la vente en ligne basé à côté de Caen ? Je recrute un Développeur Full-stack PHP en CDI. Rattaché à la direction et sous la responsabilité du Responsable SI, vous participez à l'élaboration de projets de développement et apportez les solutions techniques adaptées. Vos missions: - Participer aux développements full-stack des sites web de manière agile (back et front) - Développer de nouvelles fonctionnalités et évolutions de sites ou ap…"
Développeur Dotnet/Développeuse Dotnet,Lùkla,"Ile-de-France, France",,,0,Unknown,React,"Lùkla recherche des collaborateurs et collaboratrices passionnés par les nouvelles technologies pour intégrer notre équipe à Paris. Si vous êtes développeurs Full Stack .NET & Angular ou React Js, cette opportunité est faite pour vous ! Dans le cadre de développement d'applications dans le secteur Banque ou Energie, vous interviendrez sur des architectures Cloud, DDD, Microservices en environnement CI/CD/DevOps pour mettre en oeuvre vos connaissances sur la stack technique suivante : - Backend …"
Développeuse / Développeur Cloud en alternance,Capgemini,"Rennes, Ille-et-Vilaine",,,0,Unknown,,"Développeuse / Développeur Cloud en alternance Choisir Capgemini, c'est choisir une entreprise où vous serez en mesure de façonner votre carrière selon vos aspirations. Avec le soutien et l'inspiration d'une communauté d’experts dans le monde entier, vous pourrez réécrire votre futur. Rejoignez-nous pour redéfinir les limites de ce qui est possible, contribuer à libérer la valeur de la technologie pour les plus grandes organisations et participer à la construction d’un monde plus durable et inc…"
Développeur Dotnet/Développeuse Dotnet,Synanto,"Montpellier, Hérault",,,0,Emplois Informatique,,"Dans le cadre de nos activités, nous sommes à la recherche d'un développeur Fullstack .Net Angular (H/F) Les missions principales: Analyse, conception de la solution technique Développement de nouveaux modules sur l'application Maintenance corrective et évolutive des modules applicatifs existants Réalisation et participation aux tâches liées à la méthodes Agile. Respect des contraintes de développement: procédures internes, conventions, tests unitaire  Profil recherché: Posséder de fortes compé…"
Développeur web/Développeuse web,ManpowerGroup,"Reims, Marne",,,0,Emplois Droit,,"Le client Manpower conseil recrutement accompagne une entreprise, spécialisée dans le digitale de distribution et de gestion en Assurance Emprunteur, dans le recrutement de son futur Développeur Web Back-End H/F . Cette société participe à de nouveaux projets passionnants pour renouveler leur patrimoine applicatif sur des technologies innovantes. Les missions Vous souhaitez rejoindre une PME en pleine croissance et innovante dans un contexte super dynamique ? Vous avez envie d'un environnement …"
Développeur/Développeuse Java Senior,Bloomind,France,,,0,Unknown,,"Nous recherchons notre futur.e Développeur.euse Java Senior ! Tu prendras part à la conception et au développement de solutions techniques. Tu réaliseras différents tests pour garantir leur bon fonctionnement, puis tu accompagneras leur mise en production. Tu veilleras à la qualité du code et rédigeras la documentation nécessaire. Tu interviendras aussi bien sur la maintenance que sur les évolutions des applications. Tu assureras un support réactif auprès des utilisateurs. Le mouton à 5 pattes …"
Développeur Dotnet/Développeuse Dotnet,Nextoo,"Roubaix, Lille",,,0,Unknown,," .Net et C# n’ont plus aucun secret pour toi et tu veux relever un nouveau challenge en tant que Développeur (F/H) en métropole lilloise ? Tu es au bon endroit pour postuler chez Nextoo !  Ton Profil ✅ Tu as une expérience significative en développement .Net, C# et JS ✅ Tu accordes de l'importance à la qualité du code que tu produis ✅ Tu es autonome et motivé(e) par le travail en équipe ✅ Tu aimes travailler en agilité  Tes futures missions ✔️L’analyse, le découpage et l’estimation des Users St…"
